order_id,order_date,region,channel,product,customer_id,quantity,unit_price,discount_rate,shipping_fee,is_returned,rating,order_month,gross_amount,net_amount
ORD-0137,2024-01-03,호남,파트너,노트북,C040,3,25000,0.05,5000.0,0,5.0,2024-01,75000,76250.0
ORD-0138,2024-01-01,수도권,온라인,태블릿,C014,2,12000,0.0,5000.0,0,4.0,2024-01,24000,29000.0
ORD-0139,2024-01-05,충청,온라인,모니터,C032,4,950000,,3000.0,0,4.0,2024-01,3800000,3803000.0
ORD-0141,2024-01-14,영남,파트너,태블릿,C038,4,950000,0.15,0.0,0,4.0,2024-01,3800000,3230000.0
ORD-0142,2024-01-27,영남,파트너,모니터,C033,2,45000,0.0,0.0,1,5.0,2024-01,90000,90000.0
ORD-0143,2024-01-09,영남,매장,키보드,C023,5,1250000,0.0,2500.0,0,5.0,2024-01,6250000,6252500.0
ORD-0145,2024-01-15,수도권,온라인,태블릿,C033,1,1250000,0.1,3000.0,0,5.0,2024-01,1250000,1128000.0
ORD-0152,2024-01-04,영남,온라인,모니터,C014,3,1250000,0.1,3000.0,0,,2024-01,3750000,3378000.0
ORD-0153,2024-01-23,영남,온라인,태블릿,C053,1,180000,0.1,0.0,0,4.0,2024-01,180000,162000.0
ORD-0154,2024-01-15,영남,온라인,태블릿,C040,4,45000,0.15,0.0,0,4.0,2024-01,180000,153000.0
ORD-0156,2024-01-29,호남,온라인,노트북,C051,3,180000,0.1,,0,5.0,2024-01,540000,486000.0
ORD-0158,2024-01-13,수도권,매장,노트북,C051,4,12000,0.0,,0,4.0,2024-01,48000,48000.0
ORD-0163,2024-01-28,충청,파트너,키보드,C051,2,12000,0.0,2500.0,0,4.0,2024-01,24000,26500.0
ORD-0169,2024-01-06,수도권,파트너,키보드,C029,4,25000,0.0,0.0,0,2.0,2024-01,100000,100000.0
ORD-0170,2024-01-28,수도권,온라인,모니터,C033,5,1250000,0.05,3000.0,0,1.0,2024-01,6250000,5940500.0
ORD-0171,2024-01-28,충청,파트너,노트북,C052,4,950000,0.0,,0,,2024-01,3800000,3800000.0
ORD-0174,2024-01-30,영남,파트너,키보드,C027,1,950000,0.05,2500.0,1,3.0,2024-01,950000,905000.0
ORD-0179,2024-01-01,영남,매장,태블릿,C033,2,1250000,0.1,,0,3.0,2024-01,2500000,2250000.0
ORD-0180,2024-01-27,영남,매장,노트북,C037,3,25000,0.0,3000.0,0,2.0,2024-01,75000,78000.0
