order_id,order_date,region,channel,product,customer_id,quantity,unit_price,discount_rate,shipping_fee,is_returned,rating,order_month,gross_amount,net_amount
ORD-0055,2024-02-22,수도권,매장,노트북,C012,5,25000,0.0,,0,2.0,2024-02,125000,125000.0
ORD-0058,2024-02-29,호남,온라인,태블릿,C026,1,25000,0.1,5000.0,0,4.0,2024-02,25000,27500.0
ORD-0060,2024-02-13,수도권,파트너,모니터,C038,5,45000,0.15,2500.0,0,5.0,2024-02,225000,193750.0
ORD-0062,2024-02-16,영남,파트너,노트북,C011,4,1250000,0.15,3000.0,0,4.0,2024-02,5000000,4253000.0
ORD-0063,2024-02-04,충청,파트너,키보드,C036,1,180000,0.1,0.0,1,4.0,2024-02,180000,162000.0
ORD-0066,2024-02-05,수도권,온라인,모니터,C003,5,25000,0.1,3000.0,0,2.0,2024-02,125000,115500.0
ORD-0067,2024-02-19,호남,온라인,마우스,C033,1,45000,0.0,0.0,0,1.0,2024-02,45000,45000.0
ORD-0071,2024-02-23,수도권,온라인,모니터,C010,4,25000,0.15,2500.0,0,,2024-02,100000,87500.0
ORD-0073,2024-02-23,호남,온라인,노트북,C023,5,12000,0.0,5000.0,0,3.0,2024-02,60000,65000.0
ORD-0077,2024-02-13,수도권,매장,노트북,C013,4,180000,0.15,2500.0,0,4.0,2024-02,720000,614500.0
ORD-0078,2024-02-03,수도권,매장,노트북,C040,1,45000,0.05,2500.0,0,3.0,2024-02,45000,45250.0
ORD-0082,2024-02-17,수도권,온라인,태블릿,C037,2,180000,,3000.0,0,2.0,2024-02,360000,363000.0
ORD-0088,2024-02-09,영남,온라인,태블릿,C024,3,12000,0.0,2500.0,0,4.0,2024-02,36000,38500.0
ORD-0092,2024-02-22,수도권,파트너,노트북,C030,1,45000,0.0,0.0,0,2.0,2024-02,45000,45000.0
ORD-0096,2024-02-29,영남,온라인,모니터,C060,1,180000,,0.0,0,2.0,2024-02,180000,180000.0
ORD-0097,2024-02-10,충청,파트너,마우스,C044,5,180000,0.1,3000.0,0,4.0,2024-02,900000,813000.0
ORD-0100,2024-02-14,수도권,온라인,키보드,C053,4,45000,0.1,0.0,0,4.0,2024-02,180000,162000.0
ORD-0113,2024-02-04,수도권,온라인,노트북,C008,5,1250000,0.0,,0,5.0,2024-02,6250000,6250000.0
ORD-0114,2024-02-04,영남,매장,노트북,C011,3,1250000,0.0,2500.0,0,1.0,2024-02,3750000,3752500.0
ORD-0115,2024-02-02,수도권,매장,노트북,C041,3,1250000,0.05,3000.0,0,4.0,2024-02,3750000,3565500.0
ORD-0117,2024-02-10,호남,매장,태블릿,C014,5,950000,0.1,5000.0,0,1.0,2024-02,4750000,4280000.0
ORD-0123,2024-02-03,호남,파트너,태블릿,C005,1,25000,0.0,0.0,0,1.0,2024-02,25000,25000.0
ORD-0124,2024-02-02,호남,온라인,모니터,C019,3,12000,0.15,3000.0,0,3.0,2024-02,36000,33600.0
ORD-0125,2024-02-17,호남,온라인,키보드,C059,2,12000,0.1,2500.0,0,,2024-02,24000,24100.0
ORD-0129,2024-02-06,수도권,온라인,노트북,C025,2,12000,0.1,3000.0,0,2.0,2024-02,24000,24600.0
ORD-0130,2024-02-13,수도권,온라인,마우스,C045,3,25000,0.0,3000.0,0,4.0,2024-02,75000,78000.0
ORD-0133,2024-02-04,영남,매장,태블릿,C018,5,25000,0.05,0.0,0,2.0,2024-02,125000,118750.0
ORD-0135,2024-02-16,수도권,온라인,키보드,C008,2,950000,0.05,3000.0,1,3.0,2024-02,1900000,1808000.0
ORD-0147,2024-02-11,영남,매장,마우스,C017,3,180000,0.15,0.0,0,4.0,2024-02,540000,459000.0
ORD-0149,2024-02-20,호남,파트너,모니터,C047,1,45000,,2500.0,0,3.0,2024-02,45000,47500.0
ORD-0151,2024-02-21,충청,온라인,모니터,C002,3,950000,0.15,2500.0,0,1.0,2024-02,2850000,2425000.0
ORD-0155,2024-02-12,영남,온라인,태블릿,C040,2,45000,0.1,,0,4.0,2024-02,90000,81000.0
ORD-0157,2024-02-05,수도권,매장,태블릿,C039,3,25000,0.0,0.0,0,4.0,2024-02,75000,75000.0
ORD-0159,2024-02-01,수도권,매장,태블릿,C006,4,25000,,3000.0,0,2.0,2024-02,100000,103000.0
ORD-0161,2024-02-28,수도권,온라인,마우스,C003,5,25000,0.15,2500.0,1,3.0,2024-02,125000,108750.0
ORD-0165,2024-02-11,충청,파트너,모니터,C042,5,1250000,0.1,0.0,0,1.0,2024-02,6250000,5625000.0
ORD-0166,2024-02-14,수도권,온라인,노트북,C052,3,45000,0.05,0.0,0,2.0,2024-02,135000,128250.0
ORD-0168,2024-02-26,영남,온라인,모니터,C047,3,180000,0.05,3000.0,0,2.0,2024-02,540000,516000.0
ORD-0172,2024-02-13,영남,온라인,태블릿,C030,2,12000,0.15,0.0,0,5.0,2024-02,24000,20400.0
